date,open,high,low,close,volume,SMA,EMA,BB_MID,BB_UPPER,BB_LOWER,RSI,CCI,VADER_Compound,TextBlob_Polarity,FinBERT_Label,CryptoBERT_Label,original_preds
2024-9-30,65602.01,65618.8,62856.3,63327.59,30011.08752,65146.308,64566.84819,65146.308,67024.94594,63267.67006,39.21367658,-112.3294958,0,0,0,0,65410.16944
2024-10-1,63327.6,64130.63,60164,60805.78,43671.48108,64272.666,63313.1588,64272.666,68215.73749,60329.59451,23.95928594,-136.2567574,0.110366667,0.075757576,0.333333333,-1,64741.06842
2024-10-2,60804.92,62390.31,60000,60649.28,31534.70118,63248.532,62425.1992,63248.532,67727.60158,58769.46242,23.25745661,-95.87127899,-0.106,0,-0.5,0,62227.61457
2024-10-3,60649.27,61477.19,59828.11,60752.71,26221.43472,62227.474,61867.7028,62227.474,66155.28127,58299.66673,25.07068129,-72.40408,0.1101,0.003030303,0.25,-0.5,60439.02821
2024-10-4,60752.72,62484.85,60459.9,62086,21294.65994,61524.272,61940.46853,61524.272,63611.30699,59437.23701,45.73163212,-9.78519167,0.1702,0.072222222,0.333333333,-1,60084.97273
2024-10-5,62086,62370.56,61689.26,62058,7807.46141,61270.354,61979.64569,61270.354,62583.4212,59957.2868,45.40298762,89.53244259,0,0,0,0,61482.62597
2024-10-6,62058.01,62975,61798.97,62819.91,8906.86177,61673.18,62259.73379,61673.18,63353.44967,59992.91033,56.12710623,106.1139625,0,0,0,0,62447.21318
2024-10-7,62819.91,64478.19,62128,62224,25966.1852,61988.124,62247.82253,61988.124,63341.11049,60635.13751,47.08512727,101.6080613,-0.135966667,0.057407407,0,-1,62514.19093
2024-10-8,62224.01,63200,61860.31,62160.49,19702.22371,62269.68,62218.71169,62269.68,62832.03856,61707.32144,46.09583642,15.77767938,0.23168,0.052727273,0.2,-0.2,62252.01844
2024-10-9,62160.5,62543.75,60301,60636.02,20011.15684,61979.684,61691.14779,61979.684,63424.65519,60534.71281,28.27244375,-142.7457166,0.082371429,-0.048051948,0,-0.142857143,61432.2658
2024-10-10,60636.01,61321.68,58946,60326.39,23967.92481,61633.362,61236.22853,61633.362,63580.15017,59686.57383,25.74513653,-117.634891,-0.075433333,0.025,0,-1,59897.79382
2024-10-11,60326.4,63417.56,60087.64,62540,23641.35209,61577.38,61670.81902,61577.38,63396.37018,59758.38982,58.72082142,21.14086878,0,0,1,-1,60518.11729
2024-10-12,62539.99,63480,62487.23,63206.22,10911.30116,61773.824,62182.61935,61773.824,63996.9673,59550.6807,64.63004006,98.77674399,0,0,0,0,62709.35546
2024-10-13,63206.23,63285.72,62050,62870.02,11909.21995,61915.73,62411.7529,61915.73,64303.93538,59527.52462,59.27728498,65.12519449,0,0,0,0,63330.99578
2024-10-14,62870.02,66500,62457.81,66083.99,37669.95222,63005.324,63635.83193,63005.324,66685.5484,59325.0996,79.5330863,134.1102128,-0.07655,0,0,1,62934.17312
2024-10-15,66084,67950,64800.01,67074.14,43683.95423,64354.874,64781.93462,64354.874,68064.56022,60645.18778,82.82328419,117.8385788,0.0258,0,0,1,64879.1738
2024-10-16,67074.14,68424,66750.49,67620.01,29938.25544,65370.876,65727.95975,65370.876,69311.2577,61430.4943,84.53637086,102.6981326,0,0,-1,-1,66121.29464
2024-10-17,67620,67939.4,66666,67421.78,25328.22861,66213.988,66292.5665,66213.988,69721.07138,62706.90462,80.87500044,62.25269682,-0.100566667,-0.075,0.333333333,-0.333333333,67070.25491
2024-10-18,67421.78,69000,67192.36,68428,28725.635,67325.584,67004.37767,67325.584,68852.94542,65798.22258,84.99777301,91.35742444,0.12605,0.175,0,0,67433.26251
2024-10-19,68427.99,68693.26,68010,68378,8193.66737,67784.386,67462.25178,67784.386,68853.80398,66714.96802,83.87470509,93.02594567,0,0,0,0,68208.56869
2024-10-20,68377.99,69400,68100,69031.99,12442.47378,68175.956,67985.49785,68175.956,69347.27989,67004.63211,86.73936957,107.4375437,-0.1027,0.059090909,0,-1,68093.57451
2024-10-21,69032,69519.52,66840.67,67377.5,31374.42184,68127.454,67782.8319,68127.454,69402.34799,66852.56001,55.53865654,-36.35970783,0.1705,0,0.2,-0.2,68294.79168
2024-10-22,67377.5,67836.01,66571.42,67426,24598.96268,68128.298,67663.88793,68128.298,69401.32643,66855.26957,56.11706091,-133.6982386,0.05135,0.068181818,0,-1,66711.46363
2024-10-23,67426.01,67472.83,65260,66668.65,25530.2407,67776.428,67332.14196,67776.428,69437.13634,66115.71966,44.75294798,-120.8673879,0.06784,0.045454545,0.4,-0.2,65801.41062
2024-10-24,66668.65,68850,66510,68198.28,22589.83877,67740.484,67620.85464,67740.484,69354.68365,66126.28435,63.44301249,18.98673928,0.0682,0.077272727,0.4,-1,65123.55079
2024-10-25,68198.27,68771.49,65596.29,66698.33,34479.71125,67273.752,67313.34642,67273.752,68400.1459,66147.3581,44.84652595,-41.13610326,0.096033333,0.011111111,0.333333333,0.333333333,67841.66493
