date,open,high,low,close,volume,SMA,EMA,BB_MID,BB_UPPER,BB_LOWER,RSI,CCI,VADER_Compound,TextBlob_Polarity,FinBERT_Label,CryptoBERT_Label,original_preds
2024-10-3,2364.09,2403.38,2310,2349.8,314635.9263,2484.308,2451.984605,2484.308,2733.817242,2234.798758,17.87855518,-99.67988811,-0.4939,0,0,-1,2419.6246
2024-10-4,2349.8,2441.64,2339.15,2414.41,239383.017,2435.666,2439.459737,2435.666,2616.41342,2254.91858,35.61820002,-45.62935577,0,0,0,0,2390.223274
2024-10-5,2414.41,2428.23,2390.05,2414.66,103740.2316,2398.152,2431.193158,2398.152,2470.253164,2326.050836,35.68539676,-7.567393504,0,0,0,0,2416.14512
2024-10-6,2414.66,2457.8,2407,2440.03,105752.7096,2396.6,2434.138772,2396.6,2464.576552,2328.623448,43.20485855,117.0042887,0,0,0,0,2430.861471
2024-10-7,2440.02,2521,2403,2422.71,300459.5407,2408.322,2430.329181,2408.322,2469.73516,2346.90884,39.28523834,99.06052739,0,0,0,0,2454.107591
2024-10-8,2422.7,2466.66,2401.18,2440.89,201358.3312,2426.54,2433.849454,2426.54,2450.049025,2403.030975,45.74354708,40.67366744,0,0,0,-1,2440.908539
2024-10-9,2440.88,2473.61,2351.42,2370.47,242082.2725,2417.752,2412.722969,2417.752,2469.143875,2366.360125,30.19306482,-107.891754,0,0,0,0,2476.732896
2024-10-10,2370.47,2421.36,2330.66,2386.49,257862.9619,2412.118,2403.978646,2412.118,2469.462213,2354.773787,36.34643781,-109.1858916,0,0,0,0,2380.661428
2024-10-11,2386.49,2471.45,2381.86,2439.5,235441.2197,2412.012,2415.819098,2412.012,2469.151034,2354.872966,53.35377948,33.87294525,0,0,0,0,2402.660034
2024-10-12,2439.49,2490.51,2434.35,2476.4,139637.5062,2422.75,2436.012732,2422.75,2500.39499,2345.10501,62.15266394,111.1847372,0,0,0,0,2475.699697
2024-10-13,2476.4,2484.92,2436.4,2468.91,120022.8179,2428.354,2446.978488,2428.354,2514.053907,2342.654093,59.31387617,76.12630761,0,0,0,0,2560.094176
2024-10-14,2468.92,2654,2443.39,2629.79,435900.1619,2480.218,2507.915659,2480.218,2642.593182,2317.842818,81.72493464,161.1725499,0,0,0,0,2499.624344
2024-10-15,2629.79,2688.6,2537.36,2607.41,416285.6663,2524.402,2541.080439,2524.402,2680.834381,2367.969619,74.581378,100.9397611,0,0,0,0,2602.792606
2024-10-16,2607.41,2647.79,2588.67,2611.1,260322.4242,2558.722,2564.420293,2558.722,2700.165258,2417.278742,75.03119306,70.86447562,0,0,0,0,2660.781978
2024-10-17,2611.1,2648.37,2575.4,2605.8,221624.5434,2584.602,2578.213528,2584.602,2701.557712,2467.646288,72.72072632,51.68101974,0,0,0,-1,2703.721619
2024-10-18,2605.79,2675.58,2596.49,2642.17,292444.1153,2619.254,2599.532352,2619.254,2647.874671,2590.633329,78.42069809,134.3613605,-0.7964,-0.1875,-1,1,2641.413713
2024-10-19,2642.17,2663.49,2631.02,2648.2,105413.7646,2622.936,2615.754902,2622.936,2659.629395,2586.242605,79.31637342,104.907399,0,0,0,0,2658.938022
2024-10-20,2648.2,2759,2635.54,2746.91,256910.7448,2650.836,2659.473268,2650.836,2752.499966,2549.172034,88.8154997,160.7431089,0,0,0,0,2689.790812
2024-10-21,2746.91,2769.48,2655.01,2666.7,310674.7232,2661.956,2661.882178,2661.956,2755.652947,2568.259053,60.563672,67.52687036,0,0,0,0,2720.981744
2024-10-22,2666.71,2671.92,2606.56,2622.81,265747.713,2665.358,2648.858119,2665.358,2751.589977,2579.126023,49.74130949,-68.33891974,0,0,0,0,2659.902023
2024-10-23,2622.81,2628.2,2450,2524.61,352647.7086,2641.846,2607.442079,2641.846,2785.521155,2498.170845,33.16607002,-150.9827386,0,0,0,0,2605.413422
2024-10-24,2524.6,2562.65,2507.31,2535.82,290851.7842,2619.37,2583.568053,2619.37,2785.450641,2453.289359,36.19974567,-82.86495413,0.3612,-0.2,1,-1,2499.870317
2024-10-25,2535.82,2566.33,2382.59,2440.62,514799.8822,2558.112,2535.918702,2558.112,2716.607103,2399.616897,24.42872184,-98.45401352,0,0,0,0,2562.729
2024-10-26,2440.63,2508,2430.12,2482.51,248724.8313,2521.274,2518.115801,2521.274,2643.060665,2399.487335,35.89413948,-76.0933352,0,0,0,0,2453.417298
2024-10-27,2482.51,2527.99,2464.13,2507.8,137580.8836,2498.272,2514.677201,2498.272,2566.192654,2430.351346,42.47983593,-3.162322617,0,0,0,0,2506.443228
2024-10-28,2507.8,2589.67,2471.67,2567.48,360605.327,2506.846,2532.278134,2506.846,2594.001074,2419.690926,55.85680532,92.19252752,0,0,0,0,2499.427958
2024-10-29,2567.49,2681.86,2561.2,2638.8,451915.7025,2527.442,2567.785423,2527.442,2665.851243,2389.032757,67.23824709,138.4803281,0,0,0,1,2618.525907
2024-10-30,2638.8,2722.3,2599.66,2659.19,460627.126,2571.156,2598.253615,2571.156,2710.328713,2431.983287,70.00224773,99.94619101,0,0,0,0,2669.135812
2024-10-31,2659.19,2669,2503,2518.61,403427.2017,2578.376,2571.705743,2578.376,2701.188481,2455.563519,40.53193783,-19.59582908,0,0,0,0,2710.179948
2024-11-1,2518.61,2586.8,2467.67,2511.49,430249.1073,2579.114,2551.633829,2579.114,2700.254163,2457.973837,39.47970209,-84.20184243,0,0,0,0,2573.182848
2024-11-2,2511.49,2523.45,2470,2494.23,145961.13,2564.464,2532.499219,2564.464,2704.007555,2424.920445,36.60049161,-92.74326003,0,0,0,0,2549.183121
2024-11-3,2494.23,2496.39,2411,2457.73,276009.1197,2528.25,2507.576146,2528.25,2665.798658,2390.701342,30.6850352,-96.80589229,0,0,0,0,2518.797063
2024-11-4,2457.73,2491.39,2357.59,2398.21,306316.9645,2476.054,2471.120764,2476.054,2564.564101,2387.543899,23.0811065,-113.0853269,0,0,0,0,2482.892584
2024-11-5,2398.21,2480,2380.74,2422.55,331619.2545,2456.842,2454.930509,2456.842,2541.688721,2371.995279,31.72908848,-64.82955154,0,0,0,0,2397.066812
2024-11-6,2422.6,2744.7,2420.3,2721.87,1002141.362,2498.918,2543.91034,2498.918,2731.125141,2266.710859,74.97631233,154.6442582,0,0,0,0,2368.316277
2024-11-7,2721.88,2916.11,2699.49,2895.47,730845.9524,2579.166,2661.096893,2579.166,2971.526038,2186.805962,82.85164608,131.4735567,0,0,0,1,2711.489656
2024-11-8,2895.47,2981.69,2886.4,2961.75,568864.435,2679.97,2761.314595,2679.97,3147.516432,2212.423568,85.09093826,101.8113911,0.6335,0.113636364,0.5,-1,2821.193569
